time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-10-24 23:20:44,90.000448,1.000000,200.0,1.0,0.0,39.77,-104.60,-1.28,EngineFailure,0.71,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:20:56,6.901783,243.317698,-26.2,-178.1,-0.0,89.99,1.00,200.00,FuelLeak,0.78,vision,north_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:21:10,1.000000,0.000000,39.8,-104.6,-1.3,6.90,243.36,-26.20,FuelLeak,0.78,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:21:21,-178.121204,-0.000113,270.0,1.0,200.0,1.00,0.00,39.77,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:21:31,-104.600658,-1.278076,6.9,243.4,-26.2,-178.12,0.00,269.99,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:21:40,1.000000,200.000000,1.0,0.0,39.8,-104.60,-1.27,6.90,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:21:48,243.451231,-26.230702,-178.1,0.0,39.8,-104.60,-1.27,6.90,FuelLeak,0.66,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:21:58,243.456800,-26.233242,-178.1,0.0,90.0,1.00,200.00,1.00,FuelLeak,0.77,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:22:07,0.000000,39.774438,-104.6,-1.3,6.9,243.52,-26.29,-178.13,FuelLeak,0.67,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:22:15,0.001726,0.000000,1.0,200.0,1.0,0.00,39.77,-104.60,FuelLeak,0.72,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
